,children_under_5_total__number_of_children_under_5,stunting_prevalence_under5_pct,anemia_prevalence_under5_pct,vaccination_measles_first_dose_mcv1,vaccination_hepatitis_b_hepb3,vaccination_diphtheria_tetanus_pertussis_dtp3,vaccination_polio_pol3,vaccination_h_influenzae_type_b_hib3,child_mortality_deaths_per_100_live_births,low_birthweight_pct,stillbirths_per_100_births,gdp_constant_2015_usd,gdp_per_capita_ppp_constant_2021_intl_usd,human_development_index,sex_ratio_at_birth_males_per_100_females,malaria_incidence_rate,malaria_prevalence_rate,under5_mortality_rate,acute_hepatitis_b_incidence_rate,acute_hepatitis_c_incidence_rate,diarrheal_diseases_incidence_rate,neonatal_encephalopathy_due_to_birth_asphyxia_and_trauma_incidence_rate,neonatal_preterm_birth_incidence_rate,neonatal_sepsis_and_other_neonatal_infections_incidence_rate,nutritional_deficiencies_incidence_rate,temp_mean_c,temp_max_c,temp_min_c,rel_humidity_pct,rain_mm_year,female_primary_gross_enrol,female_secondary_gross_enrol,female_tertiary_gross_enrol,female_primary_completion_rate,mortality_under5_malaria
stillbirths_per_100_births,0.1369710616364915,0.4975227252611377,0.5648295201447591,-0.6178824598236624,-0.6172845195470572,-0.6392174355550798,-0.5966203545358304,-0.6212275232703678,0.7208474131109636,0.5325425953528062,1.0,-0.2005850229965108,-0.5166376490552158,-0.8059063315881932,-0.07154139326501442,0.36151473244863924,0.38108304375176094,0.7212989264754243,0.5626230983573951,0.38996101042988485,0.5593985379628812,0.6260560494179559,0.4004735272817358,0.38308679619582287,0.6359137075147842,0.3038449045605053,0.197264522616401,0.23367052114490344,0.011279213040844302,0.13000397115592663,-0.5951041262083001,-0.7442382532929275,-0.5919048461924574,-0.7645479882878417,0.41425863457613926
gdp_constant_2015_usd,0.7049039484071455,-0.19432275648144898,-0.2915438947511134,0.02411480504864881,0.040335688277761385,0.01332804940031471,0.015168219512658756,0.040672947252070685,-0.17763747591525525,-0.09385386202689729,-0.2005850229965108,1.0,0.33556001399819857,0.3829029869009048,0.26074702679975487,-0.1463193744481434,-0.1411822753045509,-0.19998675681412992,0.021149337231689908,-0.16502241212349175,-0.1714194516921523,-0.28658779519599487,-0.17038273964301343,-0.1254754145526308,-0.15315338493121264,-0.17381757152552357,0.0867052852279321,-0.27071152850034674,-0.22338688377144228,-0.21578312516758885,-0.009682871791700255,0.33939446270847223,0.35918589750132685,0.26618112698651597,-0.13114265699581415
gdp_per_capita_ppp_constant_2021_intl_usd,-0.051034140103931425,-0.5133400763907032,-0.40448821789926026,0.08908905240412941,0.10239365173116054,0.08392116145607234,0.08406397237971706,0.10540216234234719,-0.3710515189013808,-0.2791585951753513,-0.5166376490552158,0.33556001399819857,1.0,0.7397904385409079,0.20717216090857715,-0.2759887021284394,-0.2807597531977175,-0.48368169154574187,-0.15081369514946646,-0.4416006851703725,-0.3427999747772347,-0.6218879356684632,-0.28460050148632143,-0.18095636588683262,-0.47685792914970965,-0.20779935883133546,-0.11488455920004978,-0.16935289572129372,-0.04361865263011752,-0.04318349198274045,0.17704329478307176,0.622324190544519,0.5937237092935064,0.4486807794650109,-0.27757114316079795
human_development_index,-0.021597759183980856,-0.6910799476530891,-0.683381183014382,0.48620145851980434,0.4836567740475438,0.5038409950960139,0.4819030678448325,0.4944846685186713,-0.7980283102958184,-0.49361962636401013,-0.8059063315881932,0.3829029869009048,0.7397904385409079,1.0,0.23381949385034537,-0.4950685312082343,-0.4960833357591641,-0.8292238172277949,-0.46292490402071157,-0.5479901154674878,-0.6536426375784188,-0.7805917367099335,-0.4826430680047761,-0.3840545515495618,-0.6678549032492926,-0.37860093800159916,-0.26645332407506156,-0.2843654618933244,0.01872630272778673,-0.1272690356643087,0.5382121289198555,0.9099921890320563,0.7657335043651529,0.85025213892411,-0.5460784426884694
sex_ratio_at_birth_males_per_100_females,0.0911506555464781,-0.402422874426419,-0.2574351941098643,0.051810413945143435,0.05157945545251163,0.04284129976202458,0.09930591163008336,0.005416763443151373,-0.22823384244482553,-0.014198971877701506,-0.07154139326501442,0.26074702679975487,0.20717216090857715,0.23381949385034537,1.0,-0.289553061965629,-0.2635157141267528,-0.21876285983982932,-0.11514009663468998,-0.25641454736097063,-0.18524358271206742,-0.31634414440059494,-0.14974915910323391,-0.38915078039386997,-0.11212284017161182,0.07182393133152887,0.2149603007026545,-0.03319500184933953,-0.3194615289435346,-0.3366764116827945,-0.24033816795577875,0.27020718554829265,0.48723054865026316,0.0792148202669178,-0.21811727148322385
malaria_incidence_rate,0.12042712205032806,0.3969548822964081,0.7673570844452996,-0.4240132217936991,-0.4180760707198531,-0.4252629236862011,-0.4370862445922285,-0.4264215730529333,0.6164684005454336,0.22596568561078237,0.36151473244863924,-0.1463193744481434,-0.2759887021284394,-0.4950685312082343,-0.289553061965629,1.0,0.9812495072945695,0.6368051709256138,0.36229482484542885,0.6060417163938518,0.42197777092887817,0.4026172894182493,0.22106978449716297,0.0056078286559073254,0.4200632754614611,0.35272692315686066,0.0535538970606637,0.41411673658144266,0.3195703645583446,0.5000313565267732,-0.2692402112266059,-0.5645162168132729,-0.43883206098545435,-0.5399510677936806,0.8818601253026734
malaria_prevalence_rate,0.12215233846714765,0.39030191501677175,0.7489089809628917,-0.4146533512833942,-0.40200551078340474,-0.41913124333392676,-0.43033414822652016,-0.41632648168624825,0.6141374824580184,0.23113863156064304,0.38108304375176094,-0.1411822753045509,-0.2807597531977175,-0.4960833357591641,-0.2635157141267528,0.9812495072945695,1.0,0.6360505070160487,0.3580916380567983,0.5799778163565505,0.4225226727559583,0.3874888587056931,0.21122098691156502,0.019636602798805677,0.4085171563693692,0.3420200633407131,0.07366643609153063,0.3889281230632315,0.29879685000350564,0.4720849734436415,-0.30212993397118254,-0.5557009014926981,-0.4170104635552323,-0.5440326351587498,0.8878891873718635
under5_mortality_rate,0.07393499142137704,0.6242011847155278,0.7122213080234657,-0.6158466257999875,-0.6177212057853947,-0.6490206477602047,-0.6295768012531471,-0.6418905674123466,0.914628912003436,0.3904844941895754,0.7212989264754243,-0.19998675681412992,-0.48368169154574187,-0.8292238172277949,-0.21876285983982932,0.6368051709256138,0.6360505070160487,1.0,0.6210949042190003,0.5210850951529167,0.6893141232382286,0.6819466071882946,0.42944135619508905,0.39691051822484,0.7145905291873118,0.3049118885615021,0.20132908728499546,0.24415507284585702,0.03449055229623006,0.20450411676444305,-0.5296690792729603,-0.7718637235380363,-0.5992120058850146,-0.7832077503533186,0.7267064341679895
acute_hepatitis_b_incidence_rate,0.20931840815969008,0.29328245188928176,0.5003693212843464,-0.7186918314534445,-0.7910649764642361,-0.7454477569906651,-0.73386892118561,-0.7755456812096388,0.6164887405210568,0.33663773448886075,0.5626230983573951,0.021149337231689908,-0.15081369514946646,-0.46292490402071157,-0.11514009663468998,0.36229482484542885,0.3580916380567983,0.6210949042190003,1.0,0.26513930562393406,0.5415029033444818,0.335163213667883,0.3173187562064893,0.26970111590292434,0.5434103562761692,0.29623238469150326,0.20679784343456115,0.21977262138921125,-0.0576400824026704,0.017972029626660165,-0.4695073526640283,-0.5072995041932468,-0.39577365126463926,-0.5422848600776562,0.3553914566148046
acute_hepatitis_c_incidence_rate,0.15535589314685466,0.4453082644339024,0.6507986060601147,-0.31562846693133717,-0.3097890957015558,-0.3303339070202352,-0.33993248235593826,-0.3013127421090724,0.46120196389436346,0.2607782309701933,0.38996101042988485,-0.16502241212349175,-0.4416006851703725,-0.5479901154674878,-0.25641454736097063,0.6060417163938518,0.5799778163565505,0.5210850951529167,0.26513930562393406,1.0,0.4408871973452868,0.5554457284559032,0.3076230405627274,-0.16135882446658026,0.3430929204148491,0.45035375652590276,0.02236302020932432,0.5586191820361548,0.27774814427097244,0.3300753978449353,-0.27343860875483,-0.6381453081747647,-0.5689094188014313,-0.5510856874279028,0.5810656291263895
diarrheal_diseases_incidence_rate,0.019799962328346705,0.573008998213257,0.5235134543399472,-0.5037027078266317,-0.5588899891830662,-0.5303670056581516,-0.5200441405329003,-0.5779748337958769,0.6521529717074042,0.3117077509414844,0.5593985379628812,-0.1714194516921523,-0.3427999747772347,-0.6536426375784188,-0.18524358271206742,0.42197777092887817,0.4225226727559583,0.6893141232382286,0.5415029033444818,0.4408871973452868,1.0,0.5421487972148455,0.3501054841889688,0.32290179051091195,0.5204293824491673,0.2697842473077519,0.1672304986232491,0.2256853650148002,-0.013897256618391952,0.057349791371528444,-0.383277192636264,-0.7311341190233603,-0.58144001700012,-0.7011659086736487,0.4619389479362825
neonatal_encephalopathy_due_to_birth_asphyxia_and_trauma_incidence_rate,0.08949261993915136,0.6966371983465401,0.4791075213094964,-0.42018628121301754,-0.40590765878496016,-0.44029939936666423,-0.4214554415966965,-0.4101434312175186,0.6025356621307119,0.4483588921944762,0.6260560494179559,-0.28658779519599487,-0.6218879356684632,-0.7805917367099335,-0.31634414440059494,0.4026172894182493,0.3874888587056931,0.6819466071882946,0.335163213667883,0.5554457284559032,0.5421487972148455,1.0,0.47215691985867375,0.4160021453074248,0.45176711882880516,0.2588066518972951,0.052502560460189536,0.2840487258671196,0.16395126597008308,0.18314455226986603,-0.2773063340381802,-0.732646146571962,-0.6669950534835621,-0.6703232263339988,0.4453823904557304
